Gene Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8
BRIP1	0.79224086	2.1538725	3.6125858	7.4273143	8.581766	5.6473627	1.825392	0.9382388
BRMS1L	10.460775	11.1474	9.208017	7.117047	14.263092	26.26242	15.405252	14.007207
BRPF1	47.053467	29.206604	63.13331	108.852104	88.43276	41.05199	34.592007	62.13752
BRS3	1.5229392	9.590872	4.7310977	0.5912913	2.0836465	1.3648716	5.546935	0.5689954
BRSK1	28.040396	36.721096	16.228996	16.510492	21.815964	45.4281	12.92667	38.52453
BRUNOL4	2.3142052	45.677757	1.0966429	5.044476	5.5932994	17.40561	2.908116	24.855108
BRUNOL5	46.305897	161.26295	10.526563	3.468464	0.6489068	58.54612	9.0367	45.409653
BRUNOL6	63.153164	102.69708	19.834782	21.484144	17.644424	84.29328	28.165094	75.18761
BRWD1	34.73535	45.10889	30.085701	53.503967	44.674362	45.981297	28.166367	30.463715
BSG	126.20897	150.33725	101.52174	59.283306	131.57364	142.61833	136.31694	87.1454
BSN	31.853168	35.40103	3.1456645	2.8409789	3.1516294	53.786858	8.801979	47.35945
BSPRY	12.923019	10.98184	55.37896	4.883834	68.09566	12.392443	31.068888	14.795485
BST1	0.66090494	1.5141846	9.502342	0.6865321	9.538575	5.07149	2.2375321	0.60800487
BST2	51.8329	42.181984	19.613806	93.4813	27.7012	50.466064	32.255463	39.897423
BTAF1	87.662926	92.292725	85.03679	201.81816	146.58669	79.151855	75.098816	61.300457
BTBD1	310.307	358.30875	655.9477	379.32962	362.07886	364.52194	581.4507	350.22046
BTC	1.3745329	6.0631294	13.028808	0.1396784	10.702606	7.219345	14.935722	0.20202173
BTD	29.54699	28.625032	29.074818	1.1035775	33.745174	39.683605	31.860508	20.869638
BTF3	787.78766	878.46014	1220.7062	1289.8081	1347.2158	787.8684	762.62866	619.1485
BTG1	3.9871154	6.044944	1.43584	8.698226	1.2273372	11.113699	6.990815	10.044592
BTG2	28.212854	47.468372	39.18584	72.814064	57.590385	55.407803	66.668236	27.513731
BTG3	3.4435573	9.07571	7.580457	1.4688694	10.951932	1.5004059	2.0882845	1.1242871
BTK	16.78373	26.447382	5.78402	203.77234	12.920776	4.212742	5.42646	11.316066
